DATE,realtime_start,realtime_end,Mortgage_Rate_30Y,realtime_start,realtime_end,Existing_Home_Sales_M,realtime_start,realtime_end,Case_Shiller_Index
2018-01-01,1.7883936e+18,2026-09-03,4.032500000000001,,,,1.7877888e+18,2026-08-27,198.278
2018-02-01,1.7883936e+18,2026-09-03,4.33,,,,1.7877888e+18,2026-08-27,199.204
2018-03-01,1.7883936e+18,2026-09-03,4.444,,,,1.7877888e+18,2026-08-27,199.94
2018-04-01,1.7883936e+18,2026-09-03,4.4675,,,,1.7877888e+18,2026-08-27,200.628
2018-05-01,1.7883936e+18,2026-09-03,4.586,,,,1.7877888e+18,2026-08-27,201.39
2018-06-01,1.7883936e+18,2026-09-03,4.57,,,,1.7877888e+18,2026-08-27,202.161
2018-07-01,1.7883936e+18,2026-09-03,4.5275,,,,1.7877888e+18,2026-08-27,202.874
2018-08-01,1.7883936e+18,2026-09-03,4.55,,,,1.7877888e+18,2026-08-27,203.634
2018-09-01,1.7883936e+18,2026-09-03,4.6274999999999995,,,,1.7877888e+18,2026-08-27,204.294
2018-10-01,1.7883936e+18,2026-09-03,4.83,,,,1.7877888e+18,2026-08-27,205.063
2018-11-01,1.7883936e+18,2026-09-03,4.866,,,,1.7877888e+18,2026-08-27,205.637
2018-12-01,1.7883936e+18,2026-09-03,4.6375,,,,1.7877888e+18,2026-08-27,206.131
2019-01-01,1.7883936e+18,2026-09-03,4.464,,,,1.7877888e+18,2026-08-27,206.515
2019-02-01,1.7883936e+18,2026-09-03,4.37,,,,1.7877888e+18,2026-08-27,206.83
2019-03-01,1.7883936e+18,2026-09-03,4.265,,,,1.7877888e+18,2026-08-27,207.046
2019-04-01,1.7883936e+18,2026-09-03,4.1425,,,,1.7877888e+18,2026-08-27,207.498
2019-05-01,1.7883936e+18,2026-09-03,4.072,,,,1.7877888e+18,2026-08-27,208.105
2019-06-01,1.7883936e+18,2026-09-03,3.8024999999999998,,,,1.7877888e+18,2026-08-27,208.545
2019-07-01,1.7883936e+18,2026-09-03,3.765,,,,1.7877888e+18,2026-08-27,209.205
2019-08-01,1.7883936e+18,2026-09-03,3.6159999999999997,,,,1.7877888e+18,2026-08-27,210.012
2019-09-01,1.7883936e+18,2026-09-03,3.605,,,,1.7877888e+18,2026-08-27,210.82
2019-10-01,1.7883936e+18,2026-09-03,3.6879999999999997,,,,1.7877888e+18,2026-08-27,211.717
2019-11-01,1.7883936e+18,2026-09-03,3.6950000000000003,,,,1.7877888e+18,2026-08-27,212.755
2019-12-01,1.7883936e+18,2026-09-03,3.72,,,,1.7877888e+18,2026-08-27,213.917
2020-01-01,1.7883936e+18,2026-09-03,3.624,,,,1.7877888e+18,2026-08-27,214.996
2020-02-01,1.7883936e+18,2026-09-03,3.4650000000000003,,,,1.7877888e+18,2026-08-27,215.842
2020-03-01,1.7883936e+18,2026-09-03,3.45,,,,1.7877888e+18,2026-08-27,216.39
2020-04-01,1.7883936e+18,2026-09-03,3.306,,,,1.7877888e+18,2026-08-27,216.793
2020-05-01,1.7883936e+18,2026-09-03,3.2325,,,,1.7877888e+18,2026-08-27,216.919
2020-06-01,1.7883936e+18,2026-09-03,3.1625,,,,1.7877888e+18,2026-08-27,217.462
2020-07-01,1.7883936e+18,2026-09-03,3.016,,,,1.7877888e+18,2026-08-27,219.242
2020-08-01,1.7883936e+18,2026-09-03,2.935,,,,1.7877888e+18,2026-08-27,222.275
2020-09-01,1.7883936e+18,2026-09-03,2.89,,,,1.7877888e+18,2026-08-27,225.727
2020-10-01,1.7883936e+18,2026-09-03,2.834,,,,1.7877888e+18,2026-08-27,229.657
2020-11-01,1.7883936e+18,2026-09-03,2.765,,,,1.7877888e+18,2026-08-27,233.207
2020-12-01,1.7883936e+18,2026-09-03,2.684,,,,1.7877888e+18,2026-08-27,236.521
2021-01-01,1.7883936e+18,2026-09-03,2.735,,,,1.7877888e+18,2026-08-27,239.617
2021-02-01,1.7883936e+18,2026-09-03,2.81,,,,1.7877888e+18,2026-08-27,242.328
2021-03-01,1.7883936e+18,2026-09-03,3.0825,,,,1.7877888e+18,2026-08-27,245.418
2021-04-01,1.7883936e+18,2026-09-03,3.06,,,,1.7877888e+18,2026-08-27,249.0
2021-05-01,1.7883936e+18,2026-09-03,2.9625,,,,1.7877888e+18,2026-08-27,253.248
2021-06-01,1.7883936e+18,2026-09-03,2.975,,,,1.7877888e+18,2026-08-27,258.07
2021-07-01,1.7883936e+18,2026-09-03,2.868,,,,1.7877888e+18,2026-08-27,262.549
2021-08-01,1.7883936e+18,2026-09-03,2.8425000000000002,,,,1.7877888e+18,2026-08-27,266.635
2021-09-01,1.7883936e+18,2026-09-03,2.9,,,,1.7877888e+18,2026-08-27,270.208
2021-10-01,1.7883936e+18,2026-09-03,3.0675,,,,1.7877888e+18,2026-08-27,273.619
2021-11-01,1.7883936e+18,2026-09-03,3.0675,,,,1.7877888e+18,2026-08-27,277.302
2021-12-01,1.7883936e+18,2026-09-03,3.098,,,,1.7877888e+18,2026-08-27,281.506
2022-01-01,1.7883936e+18,2026-09-03,3.4450000000000003,,,,1.7877888e+18,2026-08-27,286.069
2022-02-01,1.7883936e+18,2026-09-03,3.7625,,,,1.7877888e+18,2026-08-27,291.041
2022-03-01,1.7883936e+18,2026-09-03,4.172,,,,1.7877888e+18,2026-08-27,296.254
2022-04-01,1.7883936e+18,2026-09-03,4.9825,,,,1.7877888e+18,2026-08-27,300.279
2022-05-01,1.7883936e+18,2026-09-03,5.2299999999999995,,,,1.7877888e+18,2026-08-27,303.276
2022-06-01,1.7883936e+18,2026-09-03,5.522,,,,1.7877888e+18,2026-08-27,304.148
2022-07-01,1.7883936e+18,2026-09-03,5.4125,,,,1.7877888e+18,2026-08-27,303.376
2022-08-01,1.7883936e+18,2026-09-03,5.2225,,,,1.7877888e+18,2026-08-27,301.126
2022-09-01,1.7883936e+18,2026-09-03,6.112,,,,1.7877888e+18,2026-08-27,299.126
2022-10-01,1.7883936e+18,2026-09-03,6.9,,,,1.7877888e+18,2026-08-27,298.759
2022-11-01,1.7883936e+18,2026-09-03,6.805,,,,1.7877888e+18,2026-08-27,298.411
2022-12-01,1.7883936e+18,2026-09-03,6.364,,,,1.7877888e+18,2026-08-27,297.68
2023-01-01,1.7883936e+18,2026-09-03,6.2725,,,,1.7877888e+18,2026-08-27,297.287
2023-02-01,1.7883936e+18,2026-09-03,6.2575,,,,1.7877888e+18,2026-08-27,297.572
2023-03-01,1.7883936e+18,2026-09-03,6.544,,,,1.7877888e+18,2026-08-27,298.665
2023-04-01,1.7883936e+18,2026-09-03,6.342499999999999,,,,1.7877888e+18,2026-08-27,300.074
2023-05-01,1.7883936e+18,2026-09-03,6.425,,,,1.7877888e+18,2026-08-27,302.064
2023-06-01,1.7883936e+18,2026-09-03,6.714,,,,1.7877888e+18,2026-08-27,304.155
2023-07-01,1.7883936e+18,2026-09-03,6.84,,,,1.7877888e+18,2026-08-27,306.563
2023-08-01,1.7883936e+18,2026-09-03,7.072,,,,1.7877888e+18,2026-08-27,309.217
2023-09-01,1.7883936e+18,2026-09-03,7.2,,,,1.7877888e+18,2026-08-27,311.332
2023-10-01,1.7883936e+18,2026-09-03,7.62,,,,1.7877888e+18,2026-08-27,313.228
2023-11-01,1.7883936e+18,2026-09-03,7.442,,,,1.7877888e+18,2026-08-27,314.02
2023-12-01,1.7883936e+18,2026-09-03,6.815,,,,1.7877888e+18,2026-08-27,314.766
2024-01-01,1.7883936e+18,2026-09-03,6.6425,,,,1.7877888e+18,2026-08-27,315.754
2024-02-01,1.7883936e+18,2026-09-03,6.776000000000001,,,,1.7877888e+18,2026-08-27,316.987
2024-03-01,1.7883936e+18,2026-09-03,6.82,,,,1.7877888e+18,2026-08-27,318.121
2024-04-01,1.7883936e+18,2026-09-03,6.9925,,,,1.7877888e+18,2026-08-27,319.144
2024-05-01,1.7883936e+18,2026-09-03,7.06,,,,1.7877888e+18,2026-08-27,319.994
2024-06-01,1.7883936e+18,2026-09-03,6.9175,,,,1.7877888e+18,2026-08-27,320.737
2024-07-01,1.7883936e+18,2026-09-03,6.8475,,,,1.7877888e+18,2026-08-27,321.682
2024-08-01,1.7883936e+18,2026-09-03,6.5,,,,1.7877888e+18,2026-08-27,322.557
2024-09-01,1.7883936e+18,2026-09-03,6.18,,,,1.7877888e+18,2026-08-27,323.558
2024-10-01,1.7883936e+18,2026-09-03,6.428,,,,1.7877888e+18,2026-08-27,324.501
2024-11-01,1.7883936e+18,2026-09-03,6.805,,,,1.7877888e+18,2026-08-27,325.844
2024-12-01,1.7883936e+18,2026-09-03,6.715,,,,1.7877888e+18,2026-08-27,327.471
2025-01-01,1.7883936e+18,2026-09-03,6.958,,,,1.7877888e+18,2026-08-27,328.925
2025-02-01,1.7883936e+18,2026-09-03,6.842499999999999,,,,1.7877888e+18,2026-08-27,329.555
2025-03-01,1.7883936e+18,2026-09-03,6.65,,,,1.7877888e+18,2026-08-27,329.031
2025-04-01,1.7883936e+18,2026-09-03,6.725,,,,1.7877888e+18,2026-08-27,328.172
2025-05-01,1.7883936e+18,2026-09-03,6.816,,,,1.7877888e+18,2026-08-27,327.504
2025-06-01,1.7883936e+18,2026-09-03,6.8175,1.7864064e+18,2026-08-11,,1.7877888e+18,2026-08-27,326.912
2025-07-01,1.7883936e+18,2026-09-03,6.720000000000001,1.7864064e+18,2026-08-11,4030000.0,1.7877888e+18,2026-08-27,326.992
2025-08-01,1.7883936e+18,2026-09-03,6.5875,1.7864064e+18,2026-08-11,4030000.0,1.7877888e+18,2026-08-27,327.38
2025-09-01,1.7883936e+18,2026-09-03,6.3525,1.7864064e+18,2026-08-11,4080000.0,1.7877888e+18,2026-08-27,327.829
